,,,,,,,,,,
,Consumer prices of petroleum products net of duties and taxes,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
AT,,,,,,,,,,
,,,,,,,,,,
,Date,"ExchangeRateTo €",Euro-super 95  (I), Gas oil automobile Automotive gas oil Dieselkraftstoff (I), Gas oil de chauffage Heating gas oil Heizöl (II), Fuel oil - Schweres Heizöl (III) Soufre <= 1% Sulphur <= 1% Schwefel <= 1%,,,,
,,,1000L,1000L,1000L,t,,,,
,24/11/14,1.00000,584.97,629.53,579.09,378,,,,
,17/11/14,1.00000,599.97,644.53,585.04,401,,,,
,10/11/14,1.00000,599.14,647.86,598.17,411,,,,
,03/11/14,1.00000,606.64,649.53,604.54,425,,,,
,27/10/14,1.00000,605.81,640.36,600.29,425,,,,
,20/10/14,1.00000,626.64,647.86,594.39,431,,,,
,13/10/14,1.00000,650.81,662.03,618.43,466,,,,
,06/10/14,1.00000,659.14,676.19,634.49,485,,,,
,29/09/14,1.00000,655.81,677.03,640.99,475,,,,
,22/09/14,1.00000,658.31,683.69,641.89,475,,,,
,15/09/14,1.00000,661.64,687.03,642.2,480,,,,
,08/09/14,1.00000,665.81,692.86,657.09,480,,,,
,01/09/14,1.00000,641.64,673.69,654.02,480,,,,
,25/08/14,1.00000,628.31,666.19,646.06,474,,,,
,18/08/14,1.00000,623.31,667.86,645.35,474,,,,
,11/08/14,1.00000,644.14,673.69,649.28,479,,,,
,04/08/14,1.00000,657.47,677.86,652.97,490,,,,
,28/07/14,1.00000,657.47,672.86,647.47,490,,,,
,21/07/14,1.00000,662.47,673.69,645.34,496,,,,
,14/07/14,1.00000,662.47,674.53,642.27,501,,,,
,07/07/14,1.00000,667.47,681.19,652.94,507,,,,
,30/06/14,1.00000,672.47,689.53,665.38,514,,,,
,23/06/14,1.00000,671.64,695.36,671.34,514,,,,
,16/06/14,1.00000,659.14,707.86,659.25,514,,,,
,09/06/14,1.00000,642.47,672.03,644.76,520,,,,
,02/06/14,1.00000,648.31,689.53,654.45,520,,,,
,26/05/14,1.00000,644.14,685.36,655.07,513,,,,
,19/05/14,1.00000,644.97,689.53,653.48,502,,,,
,12/05/14,1.00000,636.64,677.86,642.97,502,,,,
,05/05/14,1.00000,646.64,684.53,646.04,502,,,,
,28/04/14,1.00000,650.81,689.53,651.47,502,,,,
,14/04/14,1.00000,639.14,687.03,640.71,508,,,,
,07/04/14,1.00000,629.14,682.86,639.2,516,,,,
,31/03/14,1.00000,627.62,684.75,644.87,516,,,,
,24/03/14,1.00000,620.96,683.08,642.76,516,,,,
,17/03/14,1.00000,626.79,690.58,639.07,516,,,,
,10/03/14,1.00000,626.79,698.08,651.43,516,,,,
,03/03/14,1.00000,631.79,702.25,660.01,509,,,,
,24/02/14,1.00000,638.46,704.75,664.69,509,,,,
,17/02/14,1.00000,634.29,701.41,659.43,503,,,,
,10/02/14,1.00000,621.79,698.08,661.19,496,,,,
,03/02/14,1.00000,620.12,696.41,661.72,490,,,,
,27/01/14,1.00000,624.29,700.58,658.69,485,,,,
,20/01/14,1.00000,618.46,692.25,657.67,485,,,,
,13/01/14,1.00000,625.96,698.91,657,485,,,,
,06/01/14,1.00000,624.29,701.41,666.67,490,,,,
,16/12/13,1.00000,634.29,713.08,664.63,495,,,,
,09/12/13,1.00000,641.79,720.58,677.62,507,,,,
,02/12/13,1.00000,630.96,711.41,674.37,500,,,,
,25/11/13,1.00000,635.96,713.08,674.78,490,,,,
,18/11/13,1.00000,627.62,706.41,667.13,490,,,,
,11/11/13,1.00000,614.29,695.58,661.12,485,,,,
,04/11/13,1.00000,617.62,698.08,671.32,485,,,,
,28/10/13,1.00000,621.79,702.25,663.05,490,,,,
,21/10/13,1.00000,641.79,717.25,677.39,498,,,,
,14/10/13,1.00000,650.12,726.41,684.29,498,,,,
,07/10/13,1.00000,635.96,715.58,677.53,498,,,,
,30/09/13,1.00000,652.62,727.25,677.85,498,,,,
,23/09/13,1.00000,662.62,735.58,684.36,511,,,,
,16/09/13,1.00000,671.79,739.75,700.94,510,,,,
,09/09/13,1.00000,700.12,745.58,713.04,510,,,,
,02/09/13,1.00000,707.62,743.08,708.5,510,,,,
,26/08/13,1.00000,685.96,726.41,682.92,510,,,,
,19/08/13,1.00000,688.46,725.58,682.37,505,,,,
,12/08/13,1.00000,680.12,713.08,668.27,505,,,,
,05/08/13,1.00000,686.79,718.91,682.56,519.7,,,,
,29/07/13,1.00000,689.29,718.91,678.44,519.7,,,,
,22/07/13,1.00000,697.62,727.25,689.65,517,,,,
,15/07/13,1.00000,695.96,730.58,683.15,517,,,,
,08/07/13,1.00000,671.79,714.75,680.25,511,,,,
,01/07/13,1.00000,669.29,708.08,669.09,511,,,,
,24/06/13,1.00000,666.79,704.75,656.24,511,,,,
,17/06/13,1.00000,665.12,703.08,660.78,511,,,,
,10/06/13,1.00000,669.29,708.08,659.99,517,,,,
,03/06/13,1.00000,669.29,713.08,657.19,517,,,,
,27/05/13,1.00000,635.46,682.58,654.92,517,,,,
,20/05/13,1.00000,630.46,680.91,669.54,517,,,,
,13/05/13,1.00000,626.29,676.75,656.45,506,,,,
,06/05/13,1.00000,612.96,663.41,650.51,499,,,,
,29/04/13,1.00000,617.12,665.08,662.83,493,,,,
,22/04/13,1.00000,613.79,662.58,641.74,501,,,,
,15/04/13,1.00000,633.79,683.41,658.66,509,,,,
,08/04/13,1.00000,651.29,717.58,679.5,526,,,,
,25/03/13,1.00000,638.43,688.93,682.48,526,,,,
,18/03/13,1.00000,637.59,697.27,685.99,526,,,,
,11/03/13,1.00000,643.43,699.77,692.44,532,,,,
,04/03/13,1.00000,662.59,711.43,696.01,537,,,,
,25/02/13,1.00000,690.09,739.77,716.46,551,,,,
,18/02/13,1.00000,685.93,734.77,725.44,556,,,,
,11/02/13,1.00000,672.59,725.6,724.64,540,,,,
,04/02/13,1.00000,656.76,713.1,708.08,529,,,,
,28/01/13,1.00000,645.09,712.27,702.09,523,,,,
,21/01/13,1.00000,635.93,708.1,699.29,523,,,,
,14/01/13,1.00000,646.76,716.43,700.35,529,,,,
,07/01/13,1.00000,639.26,705.6,697.97,511,,,,
,17/12/12,1.00000,635.09,716.43,692.62,522,,,,
,10/12/12,1.00000,637.59,723.1,690.75,522,,,,
,03/12/12,1.00000,642.59,738.1,717.43,522,,,,
,26/11/12,1.00000,642.59,740.6,723.24,530,,,,
,19/11/12,1.00000,641.76,738.1,717.09,524,,,,
,12/11/12,1.00000,645.93,743.93,719.5,524,,,,
,05/11/12,1.00000,653.43,744.77,728.42,531,,,,
,29/10/12,1.00000,663.43,748.1,740.73,538,,,,
,22/10/12,1.00000,693.43,758.93,747.79,551,,,,
,15/10/12,1.00000,728.43,773.1,756.25,559,,,,
,08/10/12,1.00000,727.59,763.1,734.72,573,,,,
,01/10/12,1.00000,729.26,759.77,739.15,573,,,,
,24/09/12,1.00000,733.43,761.43,728.54,583,,,,
,17/09/12,1.00000,757.59,778.1,749.99,607,,,,
,10/09/12,1.00000,763.43,784.77,753.8,619,,,,
,03/09/12,1.00000,728.43,766.43,753.57,613,,,,
,27/08/12,1.00000,740.93,777.27,757.24,618,,,,
,20/08/12,1.00000,731.76,767.27,761.93,613,,,,
,13/08/12,1.00000,701.76,751.43,746.93,598,,,,
,06/08/12,1.00000,686.76,728.1,719.06,581,,,,
,30/07/12,1.00000,677.59,725.6,721.13,581,,,,
,23/07/12,1.00000,687.59,733.1,720.44,576,,,,
,16/07/12,1.00000,667.59,704.77,701.62,550,,,,
,09/07/12,1.00000,643.43,683.93,706.44,542,,,,
,02/07/12,1.00000,636.76,673.1,663.42,507,,,,
,25/06/12,1.00000,620.93,662.27,657.99,519,,,,
,18/06/12,1.00000,646.76,683.93,669.64,538,,,,
,11/06/12,1.00000,661.76,702.27,676.13,548,,,,
,04/06/12,1.00000,672.59,712.27,689.94,572,,,,
,28/05/12,1.00000,669.26,710.6,704.16,578,,,,
,21/05/12,1.00000,673.43,723.1,708.32,578,,,,
,14/05/12,1.00000,685.09,730.6,711.82,584,,,,
,07/05/12,1.00000,702.59,745.6,726.36,604,,,,
,30/04/12,1.00000,718.43,744.77,734.47,604,,,,
,23/04/12,1.00000,741.76,756.43,732.89,616,,,,
,16/04/12,1.00000,746.25,764.29,734.99,622,,,,
,02/04/12,1.00000,735.41,767.63,738.89,622,,,,
,26/03/12,1.00000,717.08,768.46,748.99,627,,,,
,19/03/12,1.00000,711.25,765.13,754.28,627,,,,
,12/03/12,1.00000,701.25,761.79,753.14,621,,,,
,05/03/12,1.00000,683.75,750.13,741.08,600,,,,
,27/02/12,1.00000,671.25,747.63,748.35,600,,,,
,20/02/12,1.00000,667.08,748.46,750.24,590,,,,
,13/02/12,1.00000,648.75,732.63,738.15,585,,,,
,06/02/12,1.00000,638.75,720.13,709.13,564,,,,
,30/01/12,1.00000,634.58,720.13,706.53,564,,,,
,23/01/12,1.00000,636.25,727.63,710.14,579,,,,
,16/01/12,1.00000,640.41,732.63,728.36,585,,,,
,09/01/12,1.00000,619.58,711.79,716.58,567,,,,
,19/12/11,1.00000,601.25,701.79,678.77,533,,,,
,12/12/11,1.00000,602.08,708.46,699,533,,,,
,05/12/11,1.00000,602.08,712.63,701.35,533,,,,
,28/11/11,1.00000,602.91,711.79,707.29,533,,,,
,21/11/11,1.00000,617.91,730.13,724.93,544,,,,
,14/11/11,1.00000,622.08,719.29,723.15,543,,,,
,07/11/11,1.00000,612.08,699.29,694.62,515,,,,
,31/10/11,1.00000,608.75,697.63,687.52,522,,,,
,24/10/11,1.00000,614.58,690.13,688.53,522,,,,
,17/10/11,1.00000,613.75,685.13,678.09,517,,,,
,10/10/11,1.00000,610.41,678.46,660.12,511,,,,
,03/10/11,1.00000,612.08,674.29,652.49,511,,,,
,26/09/11,1.00000,627.91,680.96,661.35,520,,,,
,19/09/11,1.00000,636.25,683.46,668.98,520,,,,
,12/09/11,1.00000,639.58,680.96,656.39,506,,,,
,05/09/11,1.00000,628.75,675.13,652.91,506,,,,
,29/08/11,1.00000,601.25,655.13,644.91,490,,,,
,22/08/11,1.00000,600.41,653.46,632.02,495,,,,
,08/08/11,1.00000,622.91,675.96,648.94,519,,,,
,01/08/11,1.00000,619.58,672.63,665.01,533,,,,
,25/07/11,1.00000,634.58,684.29,669.76,539,,,,
,18/07/11,1.00000,628.75,675.13,668.53,533,,,,
,11/07/11,1.00000,614.58,665.13,658.07,524.7,,,,
,04/07/11,1.00000,596.25,660.13,628.99,510,,,,
,27/06/11,1.00000,600.41,655.96,618.54,516,,,,
,20/06/11,1.00000,619.58,672.63,653.06,523,,,,
,13/06/11,1.00000,621.25,666.79,655.84,505,,,,
,06/06/11,1.00000,621.25,654.29,648.66,500,,,,
,30/05/11,1.00000,626.25,656.79,646.36,494,,,,
,23/05/11,1.00000,623.75,649.29,631.95,494,,,,
,16/05/11,1.00000,646.25,665.13,635.95,502,,,,
,09/05/11,1.00000,644.58,677.63,641.67,522,,,,
,02/05/11,1.00000,648.75,691.79,679.14,527,,,,
,18/04/11,1.00000,634.58,695.13,684.56,544,,,,
,11/04/11,1.00000,632.08,700.13,698.71,535,,,,
,04/04/11,1.00000,609.58,685.13,684.63,515,,,,
,28/03/11,1.00000,601.58,690.49,677.74,509,,,,
,21/03/11,1.00000,593.24,684.65,668.96,519,,,,
,14/03/11,1.00000,609.08,689.65,677.2,502,,,,
,07/03/11,1.00000,603.24,684.65,680.7,496,,,,
,28/02/11,1.00000,583.24,657.15,656.38,477,,,,
,21/02/11,1.00000,557.41,637.15,633.49,457,,,,
,14/02/11,1.00000,554.91,630.49,621.77,437,,,,
,07/02/11,1.00000,546.58,617.99,619.1,422,,,,
,31/01/11,1.00000,539.08,607.15,596.6,416,,,,
,24/01/11,1.00000,552.41,617.15,594.92,421,,,,
,17/01/11,1.00000,553.24,632.15,609.49,405,,,,
,10/01/11,1.00000,553.24,605.49,595.09,410,,,,
,03/01/11,1.00000,539.91,584.65,592.4,411,,,,
,20/12/10,1.00000,549.08,600.49,576.89,405,,,,
,13/12/10,1.00000,567.41,612.15,584.56,405,,,,
,06/12/10,1.00000,552.41,596.32,577.49,399,,,,
,29/11/10,1.00000,527.41,573.82,553.85,379,,,,
,22/11/10,1.00000,515.74,565.49,535.74,385,,,,
,15/11/10,1.00000,518.24,564.65,553.47,393,,,,
,08/11/10,1.00000,506.58,551.32,535.04,381,,,,
,25/10/10,1.00000,508.24,547.15,520.66,375,,,,
,18/10/10,1.00000,513.24,552.15,527.21,375,,,,
,11/10/10,1.00000,509.08,550.49,532.99,375,,,,
,04/10/10,1.00000,495.74,539.65,531.43,368,,,,
,27/09/10,1.00000,503.24,542.99,517.18,380,,,,
,20/09/10,1.00000,514.91,547.99,520.32,395,,,,
,13/09/10,1.00000,514.08,548.82,526.71,383,,,,
,06/09/10,1.00000,506.58,542.15,513.75,389,,,,
,30/08/10,1.00000,499.91,539.65,507.61,389,,,,
,23/08/10,1.00000,502.41,540.49,505.69,401,,,,
,16/08/10,1.00000,509.91,542.99,509.09,401,,,,
,09/08/10,1.00000,513.24,544.65,523.9,406,,,,
,02/08/10,1.00000,507.41,532.99,507.67,400,,,,
,26/07/10,1.00000,511.58,537.15,511.05,400,,,,
,19/07/10,1.00000,516.58,538.82,507.05,400,,,,
,12/07/10,1.00000,504.91,532.99,512.89,386,,,,
,05/07/10,1.00000,519.08,545.49,513.64,398,,,,
,28/06/10,1.00000,524.08,557.15,543.61,399,,,,
,21/06/10,1.00000,529.08,557.15,552.85,399,,,,
,14/06/10,1.00000,523.24,551.32,539.75,399,,,,
,07/06/10,1.00000,516.58,543.82,533.9,388,,,,
,31/05/10,1.00000,517.41,543.82,523.33,380,,,,
,24/05/10,1.00000,519.08,544.65,513.48,401,,,,
,17/05/10,1.00000,534.08,557.99,544.43,410,,,,
,10/05/10,1.00000,541.58,562.15,539.66,410,,,,
,03/05/10,1.00000,544.08,562.99,550.43,410,,,,
,26/04/10,1.00000,529.91,550.49,532.89,399,,,,
,19/04/10,1.00000,535.74,554.65,530.33,399,,,,
,12/04/10,1.00000,534.91,552.15,541.15,392,,,,
,29/03/10,1.00000,521.15,535.74,509.29,385,,,,
,22/03/10,1.00000,511.99,528.24,504,377,,,,
,15/03/10,1.00000,499.49,514.07,500.79,377,,,,
,08/03/10,1.00000,467.82,479.07,488.1,372,,,,
,01/03/10,1.00000,455.32,474.07,475.91,372,,,,
,22/02/10,1.00000,439.49,454.9,471.51,366,,,,
,15/02/10,1.00000,423.65,444.07,451.08,356,,,,
,08/02/10,1.00000,441.15,459.9,450.42,356,,,,
,01/02/10,1.00000,425.32,448.24,445.6,356,,,,
,25/01/10,1.00000,442.82,461.57,446.51,361,,,,
,18/01/10,1.00000,462.82,482.4,459.54,367,,,,
,11/01/10,1.00000,466.99,489.07,477.19,367,,,,
,04/01/10,1.00000,430.32,455.74,458.64,340,,,,
,21/12/09,1.00000,426.99,453.24,434.37,333,,,,
,14/12/09,1.00000,430.32,456.57,420.95,333,,,,
,07/12/09,1.00000,448.65,470.74,433.06,356,,,,
,30/11/09,1.00000,440.32,459.07,427.01,356,,,,
,23/11/09,1.00000,448.65,470.74,436.49,356,,,,
,16/11/09,1.00000,441.15,467.4,435.49,350,,,,
,09/11/09,1.00000,446.15,470.74,447.75,350,,,,
,02/11/09,1.00000,436.99,463.24,454.92,344,,,,
,26/10/09,1.00000,432.82,461.57,455.5,335,,,,
,19/10/09,1.00000,408.65,439.9,437.9,320,,,,
,12/10/09,1.00000,388.65,415.74,415.48,314,,,,
,05/10/09,1.00000,386.99,414.9,412.58,314,,,,
,28/09/09,1.00000,404.49,423.24,399.76,314,,,,
,21/09/09,1.00000,412.82,428.24,419.28,322,,,,
,14/09/09,1.00000,424.49,440.74,410.29,333,,,,
,07/09/09,1.00000,428.65,448.24,410.6,333,,,,
,31/08/09,1.00000,439.49,454.9,427.04,347,,,,
,24/08/09,1.00000,445.32,459.07,433.47,341,,,,
,17/08/09,1.00000,451.15,463.24,437.28,335,,,,
,10/08/09,1.00000,442.82,459.9,444.16,330,,,,
,03/08/09,1.00000,418.65,435.74,422.75,314,,,,
,27/07/09,1.00000,412.82,431.57,423.19,300,,,,
,20/07/09,1.00000,401.15,418.24,392.24,295,,,,
,13/07/09,1.00000,414.49,432.4,385.69,306,,,,
,06/07/09,1.00000,439.49,455.74,412.54,306,,,,
,29/06/09,1.00000,433.65,452.4,429.32,306,,,,
,22/06/09,1.00000,461.99,460.74,434.9,311,,,,
,15/06/09,1.00000,449.49,454.07,434.15,311,,,,
,08/06/09,1.00000,434.49,427.4,418.35,301,,,,
,01/06/09,1.00000,391.99,394.9,399.28,275,,,,
,25/05/09,1.00000,384.49,397.4,380.14,270,,,,
,18/05/09,1.00000,386.15,412.4,386.25,270,,,,
,11/05/09,1.00000,371.99,406.57,396.48,256,,,,
,04/05/09,1.00000,356.99,393.24,366.35,249,,,,
,27/04/09,1.00000,363.65,408.24,369.43,249,,,,
,20/04/09,1.00000,345.32,404.9,386.39,254,,,,
,06/04/09,1.00000,321.99,384.07,393.64,226,,,,
,30/03/09,1.00000,311.33,385.25,401.35,221,,,,
,23/03/09,1.00000,304.66,361.08,379.07,209,,,,
,16/03/09,1.00000,308.83,366.08,350.31,214,,,,
,09/03/09,1.00000,302.16,370.25,347.13,207,,,,
,02/03/09,1.00000,302.16,381.91,356.39,207,,,,
,23/02/09,1.00000,300.49,384.41,342.15,214,,,,
,16/02/09,1.00000,327.16,411.91,369.3,221,,,,
,09/02/09,1.00000,315.49,410.25,384.21,221,,,,
,02/02/09,1.00000,298.83,402.75,390.22,221,,,,
,26/01/09,1.00000,311.33,416.91,382.15,199.3,,,,
,19/01/09,1.00000,294.66,411.08,409.09,199.3,,,,
,12/01/09,1.00000,297.16,416.08,409.54,212,,,,
,05/01/09,1.00000,244.66,365.25,368.95,180,,,,
,15/12/08,1.00000,272.16,405.25,388.15,204,,,,
,08/12/08,1.00000,299.66,446.91,397.33,234,,,,
,01/12/08,1.00000,327.99,485.25,443.4,252,,,,
,24/11/08,1.00000,347.16,506.91,461.15,271,,,,
,17/11/08,1.00000,387.16,543.58,530.66,277,,,,
,10/11/08,1.00000,417.16,561.91,579.04,293,,,,
,03/11/08,1.00000,417.16,554.41,595.62,316,,,,
,27/10/08,1.00000,435.49,560.25,633.51,325,,,,
,20/10/08,1.00000,448.83,569.41,585.03,378,,,,
,13/10/08,1.00000,490.49,611.08,607.33,410,,,,
,06/10/08,1.00000,499.66,620.25,660.34,425,,,,
,29/09/08,1.00000,530.49,647.75,676.64,425,,,,
,22/09/08,1.00000,531.33,649.41,623.46,392,,,,
,15/09/08,1.00000,564.66,671.08,646.17,429,,,,
,08/09/08,1.00000,571.33,684.41,650.89,469,,,,
,01/09/08,1.00000,601.33,720.25,678.86,489,,,,
,25/08/08,1.00000,579.66,703.58,679.19,475,,,,
,18/08/08,1.00000,573.83,695.25,657.99,486,,,,
,11/08/08,1.00000,585.49,716.08,661.31,493,,,,
,04/08/08,1.00000,584.66,741.91,698.55,493,,,,
,28/07/08,1.00000,580.49,763.58,717.96,501,,,,
,21/07/08,1.00000,612.16,777.75,749.76,542,,,,
,14/07/08,1.00000,608.83,799.41,776.61,542,,,,
,07/07/08,1.00000,622.16,807.75,792.15,520,,,,
,30/06/08,1.00000,637.16,806.08,764.96,479,,,,
,23/06/08,1.00000,615.49,766.91,762.35,474,,,,
,16/06/08,1.00000,635.49,783.58,766.1,468,,,,
,09/06/08,1.00000,632.16,768.58,731.71,431,,,,
,02/06/08,1.00000,613.83,777.75,726.92,431,,,,
,26/05/08,1.00000,607.16,765.25,739.45,431,,,,
,19/05/08,1.00000,615.49,752.75,703.45,401,,,,
,12/05/08,1.00000,589.66,703.58,684.93,401,,,,
,05/05/08,1.00000,577.16,686.91,630.37,401,,,,
,28/04/08,1.00000,560.49,671.91,625.13,402,,,,
,21/04/08,1.00000,548.83,653.58,607.77,402,,,,
,14/04/08,1.00000,545.49,653.58,606.91,389,,,,
,07/04/08,1.00000,528.83,633.58,567.86,368,,,,
,31/03/08,1.00000,535.04,642.18,571.77,368,,,,
,17/03/08,1.00000,553.37,656.35,588.46,368,,,,
,10/03/08,1.00000,545.87,618.85,579.43,368,,,,
,03/03/08,1.00000,534.2,605.51,565.61,368,,,,
,25/02/08,1.00000,546.7,616.35,567.06,373,,,,
,18/02/08,1.00000,537.54,608.01,549.49,367,,,,
,11/02/08,1.00000,490.04,567.18,517.96,350,,,,
,04/02/08,1.00000,499.2,581.35,513.8,365,,,,
,28/01/08,1.00000,497.54,573.85,509.57,365,,,,
,21/01/08,1.00000,501.7,578.01,515.16,371,,,,
,14/01/08,1.00000,519.2,599.68,526.73,390,,,,
,07/01/08,1.00000,516.7,598.01,553.12,390,,,,
,17/12/07,1.00000,523.37,597.18,533.48,372,,,,
,10/12/07,1.00000,522.54,598.01,519.87,356,,,,
,03/12/07,1.00000,538.37,611.35,535.11,357,,,,
,26/11/07,1.00000,545.87,618.01,546.76,360,,,,
,19/11/07,1.00000,548.37,602.18,531.76,360,,,,
,12/11/07,1.00000,552.54,610.51,536.52,366,,,,
,05/11/07,1.00000,527.54,565.51,517.11,359,,,,
,29/10/07,1.00000,495.04,534.68,495.31,336,,,,
,22/10/07,1.00000,491.7,528.01,488.2,336,,,,
,15/10/07,1.00000,475.87,511.35,474.92,322,,,,
,08/10/07,1.00000,477.54,515.51,469.71,309,,,,
,01/10/07,1.00000,501.7,533.85,479.62,292,,,,
,24/09/07,1.00000,527.2,533.85,483.01,292,,,,
,17/09/07,1.00000,525.54,521.35,480.67,285,,,,
,10/09/07,1.00000,513.04,503.85,467.74,302.7,,,,
,03/09/07,1.00000,493.04,481.35,447.98,287,,,,
,27/08/07,1.00000,498.87,485.51,435.15,287,,,,
,20/08/07,1.00000,502.2,489.68,440.01,302,,,,
,13/08/07,1.00000,502.2,488.85,434.06,302,,,,
,06/08/07,1.00000,512.2,493.01,450.44,302,,,,
,30/07/07,1.00000,513.87,495.51,447.81,292,,,,
,23/07/07,1.00000,515.54,497.18,448.67,292,,,,
,16/07/07,1.00000,521.37,495.51,451.36,287,,,,
,09/07/07,1.00000,512.2,491.35,446.21,269.3,,,,
,02/07/07,1.00000,521.37,493.01,443.73,262,,,,
,25/06/07,1.00000,519.7,491.35,443.92,262,,,,
,18/06/07,1.00000,519.7,489.68,439.98,262,,,,
,11/06/07,1.00000,513.87,480.51,431.94,262,,,,
,04/06/07,1.00000,514.7,480.51,421.61,262,,,,
,28/05/07,1.00000,507.2,485.51,432.61,252,,,,
,21/05/07,1.00000,502.2,488.85,423.29,257,,,,
,14/05/07,1.00000,500.54,489.68,416.02,257,,,,
,07/05/07,1.00000,503.87,494.68,417.39,257,,,,
,30/04/07,1.00000,493.04,489.68,421,257,,,,
,23/04/07,1.00000,473.87,487.18,412.86,257,,,,
,16/04/07,1.00000,469.7,483.85,425.6,257,,,,
,02/04/07,1.00000,457.2,473.85,419.56,247,,,,
,26/03/07,1.00000,435.93,462.18,394.98,232,,,,
,19/03/07,1.00000,441.76,467.18,395.42,232,,,,
,12/03/07,1.00000,440.1,468.01,402.97,232,,,,
,05/03/07,1.00000,434.26,463.01,404.2,227,,,,
,26/02/07,1.00000,411.76,450.51,395.97,207,,,,
,19/02/07,1.00000,412.6,452.18,387.88,212,,,,
,12/02/07,1.00000,406.76,444.68,398.86,227,,,,
,05/02/07,1.00000,400.1,438.85,394.86,227,,,,
,29/01/07,1.00000,390.93,435.51,382.33,227,,,,
,22/01/07,1.00000,390.1,436.35,366.79,227,,,,
,15/01/07,1.00000,397.6,443.85,376.66,227,,,,
,08/01/07,1.00000,415.93,463.01,390.12,227,,,,
,18/12/06,1.00000,419.26,470.51,422.25,227,,,,
,11/12/06,1.00000,420.93,470.51,431.89,232,,,,
,04/12/06,1.00000,412.6,464.68,439.52,232,,,,
,27/11/06,1.00000,415.1,466.35,430.91,237,,,,
,20/11/06,1.00000,416.76,466.35,447.61,237,,,,
,13/11/06,1.00000,420.93,468.85,455.47,237,,,,
,06/11/06,1.00000,423.43,472.18,446.68,247,,,,
,30/10/06,1.00000,423.43,472.18,456.6,230,,,,
,23/10/06,1.00000,432.6,482.18,459.02,240,,,,
,16/10/06,1.00000,432.6,479.68,460.31,233,,,,
,09/10/06,1.00000,431.76,474.68,454.1,233,,,,
,02/10/06,1.00000,431.76,460.51,455.97,239,,,,
,25/09/06,1.00000,447.6,483.01,431.98,254,,,,
,18/09/06,1.00000,472.6,502.18,440.99,265,,,,
,11/09/06,1.00000,500.1,518.85,479.68,265,,,,
,04/09/06,1.00000,520.93,535.51,496.81,265,,,,
,28/08/06,1.00000,537.6,535.51,500.65,265,,,,
,21/08/06,1.00000,551.76,548.85,491.92,275,,,,
,14/08/06,1.00000,570.1,563.85,506.41,285,,,,
,07/08/06,1.00000,570.93,553.85,502.21,285,,,,
,31/07/06,1.00000,554.26,534.68,483.96,280,,,,
,24/07/06,1.00000,551.76,537.18,485.91,280,,,,
,17/07/06,1.00000,537.6,538.01,498.23,270,,,,
,10/07/06,1.00000,530.1,535.51,482.74,270,,,,
,03/07/06,1.00000,533.43,534.68,489.34,260,,,,
,26/06/06,1.00000,519.26,523.85,479.09,260,,,,
,19/06/06,1.00000,527.6,533.85,477.22,260,,,,
,12/06/06,1.00000,532.6,543.01,477.01,270,,,,
,05/06/06,1.00000,523.43,534.68,476.71,270,,,,
,29/05/06,1.00000,522.6,528.01,472.64,270,,,,
,22/05/06,1.00000,524.26,530.51,462.82,270,,,,
,15/05/06,1.00000,527.6,534.68,481.71,270,,,,
,08/05/06,1.00000,534.26,540.51,473.71,290,,,,
,01/05/06,1.00000,525.1,542.18,486.6,300,,,,
,24/04/06,1.00000,525.1,542.18,492.86,290,,,,
,10/04/06,1.00000,490.1,518.01,466.36,280,,,,
,03/04/06,1.00000,485.1,513.01,466.91,280,,,,
,27/03/06,1.00000,466.53,498.51,454.39,280,,,,
,20/03/06,1.00000,467.36,500.18,456.48,280,,,,
,13/03/06,1.00000,459.03,493.51,443.23,287.7,,,,
,06/03/06,1.00000,457.36,485.18,456.69,300,,,,
,27/02/06,1.00000,454.86,479.34,438.23,290,,,,
,20/02/06,1.00000,450.69,475.18,435.93,290,,,,
,13/02/06,1.00000,462.36,489.34,437.75,290,,,,
,06/02/06,1.00000,465.69,492.68,444.74,290,,,,
,30/01/06,1.00000,462.36,487.68,443.39,280,,,,
,23/01/06,1.00000,455.69,481.84,440.39,270,,,,
,16/01/06,1.00000,451.53,476.84,430.37,270,,,,
,09/01/06,1.00000,446.53,481.01,439.65,280,,,,
,19/12/05,1.00000,439.86,478.51,438.85,270,,,,
,12/12/05,1.00000,434.86,477.68,431.13,260,,,,
,05/12/05,1.00000,432.36,473.51,423.95,260,,,,
,28/11/05,1.00000,447.36,485.18,421.08,260,,,,
,21/11/05,1.00000,449.86,487.68,426.31,260,,,,
,14/11/05,1.00000,465.69,491.84,432.21,270,,,,
,07/11/05,1.00000,482.36,503.51,444,280,,,,
,24/10/05,1.00000,503.19,516.84,469.34,280,,,,
,17/10/05,1.00000,519.03,523.51,487.84,280,,,,
,10/10/05,1.00000,532.36,521.84,487.05,280,,,,
,03/10/05,1.00000,536.53,516.84,510.1,290,,,,
,26/09/05,1.00000,529.86,535.68,495.74,290,,,,
,19/09/05,1.00000,533.19,540.68,468.38,275,,,,
,12/09/05,1.00000,557.36,554.01,499.26,275,,,,
,05/09/05,1.00000,540.69,561.51,516.11,275,,,,
,29/08/05,1.00000,500.69,537.34,469.61,252,,,,
,22/08/05,1.00000,494.86,533.18,457.7,245,,,,
,15/08/05,1.00000,479.03,509.01,419.84,238,,,,
,08/08/05,1.00000,479.03,509.01,419.84,238,,,,
